济南联通,#genre#
山东齐鲁,http://124.128.25.149:8888/udp/239.253.242.18:8000
山东文旅,http://124.128.25.149:8888/udp/239.253.242.19:8000
山东生活,http://124.128.25.149:8888/udp/239.253.242.20:8000
山东综艺,http://124.128.25.149:8888/udp/239.253.242.21:8000
山东体育,http://124.128.25.149:8888/udp/239.253.242.22:8000
山东新闻,http://124.128.25.149:8888/udp/239.253.242.23:8000
山东农科,http://124.128.25.149:8888/udp/239.253.242.24:8000
山东少儿,http://124.128.25.149:8888/udp/239.253.242.25:8000
济南鲁中,http://124.128.25.149:8888/udp/239.253.242.244:8000
济阳综合,http://124.128.25.149:8888/udp/239.253.242.245:8000
济南教育,http://124.128.25.149:8888/udp/239.253.242.246:8000
济南都市,http://124.128.25.149:8888/udp/239.253.242.248:8000
济南文旅体育,http://124.128.25.149:8888/udp/239.253.242.249:8000
济南娱乐,http://124.128.25.149:8888/udp/239.253.242.250:8000
济南生活,http://124.128.25.149:8888/udp/239.253.242.251:8000
济南少儿,http://124.128.25.149:8888/udp/239.253.242.252:8000
济南综合,http://124.128.25.149:8888/udp/239.253.242.254:8000
历城综合,http://124.128.25.149:8888/udp/239.253.242.159:8000
海洋频道,http://124.128.25.149:8888/udp/239.253.242.67:8000
山东家居购物,http://124.128.25.149:8888/udp/239.253.242.104:8000
CCTV1,http://124.128.25.149:8888/udp/239.253.242.77:8000
CCTV2,http://124.128.25.149:8888/udp/239.253.242.234:8000
CCTV3,http://124.128.25.149:8888/udp/239.253.242.191:8000
CCTV3,http://124.128.25.149:8888/udp/239.253.242.4:8000
CCTV4欧洲,http://124.128.25.149:8888/udp/239.253.242.186:8000
CCTV4美洲,http://124.128.25.149:8888/udp/239.253.242.187:8000
CCTV5,http://124.128.25.149:8888/udp/239.253.242.192:8000
CCTV5,http://124.128.25.149:8888/udp/239.253.242.6:8000
CCTV5+,http://124.128.25.149:8888/udp/239.253.242.80:8000
CCTV6,http://124.128.25.149:8888/udp/239.253.242.193:8000
CCTV6,http://124.128.25.149:8888/udp/239.253.242.7:8000
CCTV7,http://124.128.25.149:8888/udp/239.253.242.235:8000
CCTV8,http://124.128.25.149:8888/udp/239.253.242.194:8000
CCTV8,http://124.128.25.149:8888/udp/239.253.242.9:8000
CCTV9,http://124.128.25.149:8888/udp/239.253.242.79:8000
CCTV10,http://124.128.25.149:8888/udp/239.253.242.236:8000
CCTV11,http://124.128.25.149:8888/udp/239.253.242.12:8000
CCTV12,http://124.128.25.149:8888/udp/239.253.242.237:8000
CCTV13,http://124.128.25.149:8888/udp/239.253.242.14:8000
CCTV14,http://124.128.25.149:8888/udp/239.253.242.238:8000
CCTV15,http://124.128.25.149:8888/udp/239.253.242.16:8000
CCTV17,http://124.128.25.149:8888/udp/239.253.242.168:8000
CCTV4K,http://124.128.25.149:8888/udp/239.253.242.122:8000
CETV1,http://124.128.25.149:8888/udp/239.253.242.110:8000
CETV2,http://124.128.25.149:8888/udp/239.253.242.107:8000
CETV4,http://124.128.25.149:8888/udp/239.253.242.108:8000
CCTV4,http://124.128.25.149:8888/udp/239.253.242.111:8000
CGTN,http://124.128.25.149:8888/udp/239.253.242.17:8000
CGTN纪录,http://124.128.25.149:8888/udp/239.253.242.188:8000
CGTN西语,http://124.128.25.149:8888/udp/239.253.242.182:8000
CGTN法语,http://124.128.25.149:8888/udp/239.253.242.183:8000
CGTN阿语,http://124.128.25.149:8888/udp/239.253.242.184:8000
CGTN俄语,http://124.128.25.149:8888/udp/239.253.242.185:8000
山东卫视,http://124.128.25.149:8888/udp/239.253.242.78:8000
山东教育卫视,http://124.128.25.149:8888/udp/239.253.242.59:8000
新疆卫视,http://124.128.25.149:8888/udp/239.253.242.60:8000
甘肃卫视,http://124.128.25.149:8888/udp/239.253.242.74:8000
浙江卫视,http://124.128.25.149:8888/udp/239.253.242.84:8000
安徽卫视,http://124.128.25.149:8888/udp/239.253.242.87:8000
广东卫视,http://124.128.25.149:8888/udp/239.253.242.90:8000
潍坊联通,#genre#
CCTV1,http://a.limingzi.com:8888/udp/239.253.246.1:8000
山东卫视,http://a.limingzi.com:8888/udp/239.253.246.2:8000
CCTV2,http://a.limingzi.com:8888/udp/239.253.246.3:8000
CCTV3,http://a.limingzi.com:8888/udp/239.253.246.4:8000
CCTV4,http://a.limingzi.com:8888/udp/239.253.246.5:8000
CCTV5,http://a.limingzi.com:8888/udp/239.253.246.6:8000
CCTV6,http://a.limingzi.com:8888/udp/239.253.246.7:8000
CCTV7,http://a.limingzi.com:8888/udp/239.253.246.8:8000
CCTV8,http://a.limingzi.com:8888/udp/239.253.246.9:8000
CCTV9,http://a.limingzi.com:8888/udp/239.253.246.10:8000
CCTV10,http://a.limingzi.com:8888/udp/239.253.246.11:8000
CCTV11,http://a.limingzi.com:8888/udp/239.253.246.12:8000
CCTV12,http://a.limingzi.com:8888/udp/239.253.246.13:8000
CCTV13,http://a.limingzi.com:8888/udp/239.253.246.14:8000
CCTV14,http://a.limingzi.com:8888/udp/239.253.246.15:8000
CCTV15,http://a.limingzi.com:8888/udp/239.253.246.16:8000
山东文旅,http://a.limingzi.com:8888/udp/239.253.246.19:8000
山东生活,http://a.limingzi.com:8888/udp/239.253.246.20:8000
山东综艺,http://a.limingzi.com:8888/udp/239.253.246.21:8000
山东体育,http://a.limingzi.com:8888/udp/239.253.246.22:8000
山东新闻,http://a.limingzi.com:8888/udp/239.253.246.23:8000
山东农科,http://a.limingzi.com:8888/udp/239.253.246.24:8000
山东少儿,http://a.limingzi.com:8888/udp/239.253.246.25:8000
